semi_span_y_m,local_chord_m,section_cl,lift_per_unit_span_N_per_m
3.6739403974420595e-17,0.24,0.7995506982558356,26.445139344811757
0.03924187753808596,0.23476774966158853,0.8110608712472377,26.24100705979534
0.07831571533203102,0.22955790462239586,0.8165821466065523,25.833350924510206
0.117054193209677,0.22439277423870974,0.8183245444251902,25.305973939149297
0.15529142706151244,0.21929447639179833,0.8170040163550237,24.691103243021214
0.192863679181897,0.21428484277574705,0.813154405728451,24.013368380284962
0.22961005941905388,0.2093853254107928,0.8070003151155171,23.286732625593757
0.26537321413140075,0.2046169047824799,0.7987002373167078,22.522362046959568
0.30000000000000004,0.19999999999999998,0.7882608195216504,21.726438838065487
0.3333421398117614,0.1955543813584318,0.7756312674491598,20.903137145846898
0.3652568574052324,0.19129908567930234,0.760643884357315,20.053162970578857
0.3956074890600413,0.1872523347919945,0.7430590861742307,19.17516906548999
0.4242640687119285,0.1834314575050762,0.7225199421329753,18.264688360410414
0.4511038844873864,0.1798528154016818,0.6985749876891526,17.314855978920118
0.4760120041747411,0.1765317327767012,0.6706437702489377,16.315609036104277
0.4988817673815271,0.17348243101579638,0.6380327929423779,15.254118335769347
0.5196152422706632,0.1707179676972449,0.5999189065949528,14.114334063755077
0.538123644919613,0.16825018067738495,0.555377940155777,12.877536093740789
0.5543277195067721,0.16608963739909705,0.5034077496583687,11.522614836453862
0.5681580776970634,0.16424558964039154,0.44300371981247927,10.027431426096241
0.579555495773441,0.1627259338968745,0.3732667449004534,8.370756008921425
0.5884711682419382,0.16153717756774155,0.29358318038098136,6.535702458745704
0.5948669168242862,0.16068441109009518,0.20390483190199118,4.515333929429678
0.5987153539431621,0.16017128614091172,0.10513982389226474,2.3208149814052423
